game_id,season,week,start_time,venue,home_team,away_team,home_points,away_points,city,state,latitude,longitude,temperature,precipitation,wind_speed
401540163,2023,1,2023-09-02T04:00:00.000Z,Soldier Field,Mississippi Valley State,Central State (OH),21,24,Chicago,IL,41.8625,-87.616667,20.1,0.0,13.8
401549784,2023,1,2023-09-02T04:00:00.000Z,Armfield Athletic Center,Guilford College,Greensboro College,36,21,Greensboro,NC,36.0726355,-79.7919754,18.3,0.0,6.9
401550253,2023,1,2023-09-02T04:00:00.000Z,Bernlohr Stadium,Capital,Denison University,35,45,Bexley,OH,39.9692378,-82.936864,20.4,0.0,4.6
401540396,2023,1,2023-09-02T04:00:00.000Z,Alumni Memorial Field,VMI,Davidson,12,7,Lexington,VA,37.788983,-79.43505,16.3,0.0,4.7
401545759,2023,1,2023-09-02T04:00:00.000Z,Mueller Field,Notre Dame College,Ohio Dominican,23,21,South Euclid,OH,41.5231076,-81.5184553,16.5,0.0,12.6
401541912,2023,1,2023-09-02T04:00:00.000Z,Mountaineer Bowl,Western Colorado,West Texas A&M,28,6,Gunnison,CO,38.6476702,-107.0603126,9.5,0.0,6.9
401540003,2023,1,2023-09-02T04:00:00.000Z,Arute Field,Central Connecticut,American International,44,0,New Britain,CT,41.6950591,-72.7616197,14.6,0.0,9.4
401540065,2023,1,2023-09-02T04:00:00.000Z,Fitton Field,Holy Cross,Merrimack,42,20,Worcester,MA,42.2403564,-71.8111424,14.0,0.0,10.4
401540737,2023,1,2023-09-02T04:00:00.000Z,Donnell Stadium,Findlay,Truman State,10,20,Findlay,OH,41.0413873,-83.6503982,17.4,0.0,8.7
401552473,2023,1,2023-09-02T16:00:00.000Z,Dale Lippert Field,Dean College,Fitchburg State,33,17,Franklin,MA,34.440962,-87.8339064,26.8,0.0,12.2
401545782,2023,1,2023-09-02T16:00:00.000Z,Multi-Sport Stadium,Assumption,Kutztown University,31,20,Worcester,MA,42.2625621,-71.8018877,23.7,0.0,11.9
401546992,2023,1,2023-09-02T16:00:00.000Z,Farmers Insurance Athletic Complex,Davenport,Thomas More College,31,17,Caledonia,MI,37.763382,-90.7729061,26.9,0.0,6.6
401549622,2023,1,2023-09-02T16:00:00.000Z,Hempstead Stadium,Endicott College,St. Lawrence,31,0,Beverly,MA,42.5584284,-70.8800491,24.6,0.0,10.8
401540708,2023,1,2023-09-02T16:00:00.000Z,Frost-Kalnow Stadium,Tiffin,McKendree,79,14,Tiffin,OH,41.114485,-83.1779537,27.2,0.0,14.4
401551929,2023,1,2023-09-02T16:00:00.000Z,Athletic Field Complex,Keystone,Gallaudet,27,6,La Plume,PA,41.5565738,-75.7551655,22.9,0.0,11.0
401520157,2023,1,2023-09-02T16:00:00.000Z,Kinnick Stadium,Iowa,Utah State,24,14,Iowa City,IA,41.6586045,-91.5510829,26.1,0.0,13.1
401520159,2023,1,2023-09-02T16:00:00.000Z,Kroger Field,Kentucky,Ball State,44,14,Lexington,KY,38.0220905,-84.5053408,27.4,0.1,9.0
401520160,2023,1,2023-09-02T16:00:00.000Z,Williams Stadium (VA),Liberty,Bowling Green,34,24,Lynchburg,VA,37.3544305,-79.1750239,24.6,0.0,6.6
401520170,2023,1,2023-09-02T16:00:00.000Z,Ross-Ade Stadium,Purdue,Fresno State,35,39,West Lafayette,IN,40.4352253,-86.9186843,26.4,0.0,10.0
401520172,2023,1,2023-09-02T16:00:00.000Z,Gerald J. Ford Stadium,SMU,Louisiana Tech,38,14,University Park,TX,32.8377223,-96.7827859,30.9,0.0,15.8
401525464,2023,1,2023-09-02T16:00:00.000Z,"Alumni Stadium (Chestnut Hill, MA)",Boston College,Northern Illinois,24,27,Chestnut Hill,MA,42.335104,-71.1664413,24.8,0.0,14.7
401541110,2023,1,2023-09-02T16:00:00.000Z,Bishop Stadium,North Carolina Wesleyan,Randolph-Macon,9,51,Rocky Mount,NC,35.9423833,-77.7956949,24.1,0.0,9.1
401549310,2023,1,2023-09-02T16:00:00.000Z,St. Francis High School,Hilbert College,Union (NY),0,65,Hamburg,NY,,,,,
401550145,2023,1,2023-09-02T16:00:00.000Z,Angell Field,Kalamazoo,Oberlin,42,10,Kalamazoo,MI,42.291707,-85.5872286,25.7,0.0,12.4
401547185,2023,1,2023-09-02T16:00:00.000Z,Homewood Field,Johns Hopkins University,Ithaca College,27,17,Baltimore,MD,39.2908816,-76.610759,26.1,0.0,9.1
401549730,2023,1,2023-09-02T16:00:00.000Z,Westside Athletic Complex,Western Connecticut St,Merchant Marine Academy,35,52,Danbury,CT,41.394817,-73.4540111,23.2,0.0,8.5
401553021,2023,1,2023-09-02T16:00:00.000Z,Schmidt Stadium,Wilkes,Kings College (PA),23,27,Edwardsville,PA,33.707182,-85.51021468718943,26.8,0.0,12.4
401545963,2023,1,2023-09-02T16:00:00.000Z,Seth Grove Stadium,Shippensburg,Newberry,10,14,Shippensburg,PA,40.0507198,-77.5205485,24.9,0.0,8.0
401541053,2023,1,2023-09-02T16:00:00.000Z,Kean Alumni Stadium,Kean,SUNY Morrisville,14,24,Union,NJ,40.6976019,-74.2632024,25.3,0.0,9.0
